,id,city,country,lat,lon,date,temperature,humidity,cloudiness,wind speed
28,2249901,Gat,SN,14.69,14.69,1522954800,91.4,43,0,9.17
39,1487332,Verkhnyaya Inta,RU,65.99,65.99,1522959900,22.09,80,80,2.71
49,3897774,Buin,CL,-33.73,-33.73,1522958400,76.1,34,0,11.41
50,2414079,Yomou,GN,7.57,7.57,1522959911,69.16,100,92,1.03
59,2447416,Ayorou,NE,14.73,14.73,1522959960,82.84,12,24,8.41
66,712587,Belogorsk,UA,45.06,45.06,1522959903,40.27,96,12,3.27
75,140951,Behbahan,IR,30.59,30.59,1522954800,70.57,57,56,2.24
76,2435708,Beinamar,TD,8.67,8.67,1522959874,73.03,89,56,3.6
82,933734,Gweta,BW,-20.21,-20.21,1522959930,66.73,89,92,3.49
91,1283285,Jumla,NP,29.28,29.28,1522959866,30.55,87,0,2.37
100,668297,Diosig,RO,47.31,47.31,1522958400,56.35,82,68,8.05
124,1217007,Koson,UZ,39.04,39.04,1522956600,62.6,45,0,11.41
153,1259110,Qadian,IN,31.82,31.82,1522956600,73.4,73,36,3.15
169,1855612,Nara,JP,34.68,34.68,1522956600,60.8,87,75,1.12
184,3357247,Gobabis,NA,-22.45,-22.45,1522958400,69.8,64,0,3.36
186,2129218,Yoichi,JP,43.19,43.19,1522959872,30.91,100,80,4.94
187,3689611,Nechi,CO,5.59,5.59,1522959946,71.68,87,80,2.04
203,2332515,Lafia,NG,8.5,8.5,1522959977,81.49,64,8,9.08
214,1524606,Derzhavinsk,KZ,51.1,51.1,1522959874,36.22,96,88,12.55
229,3685702,Cravo Norte,CO,6.3,6.3,1522959884,86.08,53,76,6.06
232,1120879,Sharan,AF,33.15,33.15,1522959875,37.21,85,0,1.92
237,4000900,La Paz,MX,24.15,24.15,1522957200,87.8,12,20,10.29
264,923058,Kambove,CD,-10.88,-10.88,1522959972,61.06,94,8,2.93
274,3386177,Trairi,BR,-3.28,-3.28,1522959877,82.12,100,24,7.07
280,2654970,Brae,GB,60.4,60.4,1522957800,36.88,80,68,5.82
282,1690438,San Andres,PH,13.32,13.32,1522959887,78.61,100,0,12.44
289,5905393,Bonavista,CA,48.65,48.65,1522959879,39.64,78,88,17.47
290,3723779,Jacmel,HT,18.24,18.24,1522959889,78.97,100,0,4.16
291,3979647,Zirandaro,MX,18.45,18.45,1522959889,97.96,27,0,3.49
305,2013216,Vysokogornyy,RU,50.1,50.1,1522959880,6.43,74,0,3.71
323,601551,Akdepe,TM,42.05,42.05,1522956600,50.63,52,0,2.82
342,3141667,Roald,NO,62.58,62.58,1522957800,33.8,100,75,6.93
358,2851077,Nassau,DE,51.17,51.17,1522957800,44.6,70,75,10.29
368,4031742,Egvekinot,RU,66.32,66.32,1522959883,3.73,79,12,12.77
369,3103556,Bialogard,PL,54.01,54.01,1522959893,48.64,73,68,16.24
374,497547,Selty,RU,57.31,57.31,1522959916,26.95,88,0,6.17
375,1150515,Surat Thani,TH,9.14,9.14,1522959916,73.93,100,64,2.59
386,3356213,Khorixas,NA,-20.37,-20.37,1522959886,71.59,61,48,5.84
401,3835994,Santa Rosa,AR,-36.62,-36.62,1522959727,65.83,31,100,9.31
413,499987,Rybnaya Sloboda,RU,55.46,55.46,1522956600,33.8,59,0,6.71
433,2035225,Ranghulu,CN,46.63,46.63,1522959889,23.98,37,32,10.98
450,3128760,Horta,ES,41.43,41.43,1522958400,56.32,82,20,4.83
451,5232637,Volga,US,44.32,44.32,1522959300,38.82,64,1,13.87
454,1715015,Dicabisagan,PH,17.08,17.08,1522959892,71.86,100,92,2.82
456,5983607,Inuvik,CA,68.36,68.36,1522958400,5.4,55,5,6.93
461,551846,Kaspiyskiy,RU,45.39,45.39,1522959893,38.38,100,0,3.15
463,3448207,Sao Sepe,BR,-30.16,-30.16,1522954800,82.4,58,40,4.7
475,5147097,Berea,US,41.37,41.37,1522958160,41,45,75,17.22
481,233093,Kaabong,UG,3.51,3.51,1522959896,60.79,91,76,2.48
485,1278775,Amla,IN,21.92,21.92,1522959896,72.58,41,24,4.38
497,178522,Voi,KE,-3.4,-3.4,1522959955,69.88,90,56,4.72
14,1630639,Mataram,ID,-5.32,-5.32,1522959804,72.94,91,8,2.15
35,1255647,Srikakulam,IN,18.29,18.29,1522959909,82.57,99,0,15.12
44,3348313,Huambo,AO,-12.78,-12.78,1522959900,61.69,99,80,2.59
